hypervolume,spacing,spread,n_solutions,config_label,run,time_s,instance,n_var,theta_min,theta_max
1232460629.552729,431.9630456171524,1.0607599133818146,15,absolute-current-default,0,2.6110219955444336,route2_199,198,0.1,0.35
1555594487.5354443,29.53127185353195,0.9050129837558213,25,absolute-current-default,1,2.593546152114868,route2_199,198,0.1,0.35
1376859626.1380372,178.0156295810386,1.0204488873012532,26,absolute-current-default,2,2.6073789596557617,route2_199,198,0.1,0.35
1482242545.6846967,142.6232873941668,0.9627316200342593,20,absolute-pre-tune-default,0,2.583338737487793,route2_199,198,0.02,0.35
1185685108.5513241,54.58107850247922,0.966737375452601,21,absolute-pre-tune-default,1,2.583299160003662,route2_199,198,0.02,0.35
837898695.6579812,48.20164394867899,0.9559248887340389,19,absolute-pre-tune-default,2,2.589709520339966,route2_199,198,0.02,0.35
1560536632.2696705,172.7955896083498,1.0104562411003317,26,scaled-mmin=0.5-mmax=2,0,2.575495719909668,route2_199,198,0.003966657390896204,0.015866629563584814
1101368808.1073222,137.0060807153237,1.0178049409416905,23,scaled-mmin=0.5-mmax=2,1,2.579077959060669,route2_199,198,0.003966657390896204,0.015866629563584814
1451349115.8843417,37.96141357299047,0.931824389273682,27,scaled-mmin=0.5-mmax=2,2,2.5757315158843994,route2_199,198,0.003966657390896204,0.015866629563584814
1257579331.1703918,31.388623145691472,0.9162756325077107,22,scaled-mmin=0.5-mmax=4,0,2.5790388584136963,route2_199,198,0.003966657390896204,0.03173325912716963
1806463681.485641,179.0641113947847,1.0629003953292582,13,scaled-mmin=0.5-mmax=4,1,2.578547239303589,route2_199,198,0.003966657390896204,0.03173325912716963
1030019639.356312,43.528708548841905,0.9267528998340762,25,scaled-mmin=0.5-mmax=4,2,2.5855143070220947,route2_199,198,0.003966657390896204,0.03173325912716963
2298829917.148327,153.0881556212092,0.9848415390835344,17,scaled-mmin=0.5-mmax=7,0,2.5763957500457764,route2_199,198,0.003966657390896204,0.05553320347254685
1309609068.020371,284.5289536146533,1.0187023449413821,21,scaled-mmin=0.5-mmax=7,1,2.584963798522949,route2_199,198,0.003966657390896204,0.05553320347254685
1232086035.989509,87.31374099883878,0.9813507561417073,26,scaled-mmin=0.5-mmax=7,2,2.57865047454834,route2_199,198,0.003966657390896204,0.05553320347254685
1182254275.8179398,92.92952733268419,0.9645708847536909,13,scaled-mmin=0.5-mmax=14,0,2.5813255310058594,route2_199,198,0.003966657390896204,0.1110664069450937
1746884044.3983154,409.2759057419398,1.0610005331819086,9,scaled-mmin=0.5-mmax=14,1,2.573338031768799,route2_199,198,0.003966657390896204,0.1110664069450937
1192347761.0720775,55.68935728018465,0.9522981997761635,22,scaled-mmin=0.5-mmax=14,2,2.573709487915039,route2_199,198,0.003966657390896204,0.1110664069450937
1361818276.2208114,97.0456640429947,0.946499013501073,16,scaled-mmin=0.5-mmax=28,0,2.590367078781128,route2_199,198,0.003966657390896204,0.2221328138901874
1636389087.883754,563.8169629749028,1.0768132544054632,13,scaled-mmin=0.5-mmax=28,1,2.5787389278411865,route2_199,198,0.003966657390896204,0.2221328138901874
1162773574.0050063,115.70046293046222,0.9684764641344822,16,scaled-mmin=0.5-mmax=28,2,2.573472261428833,route2_199,198,0.003966657390896204,0.2221328138901874
1280814322.0082123,148.32198990097484,1.0060776388079757,25,scaled-mmin=1-mmax=2,0,2.5729353427886963,route2_199,198,0.007933314781792407,0.015866629563584814
1152404828.422996,127.01931338950052,0.958597171911198,23,scaled-mmin=1-mmax=2,1,2.5764732360839844,route2_199,198,0.007933314781792407,0.015866629563584814
1909100405.5186749,120.08989413386844,0.9821831535524244,22,scaled-mmin=1-mmax=2,2,2.5717930793762207,route2_199,198,0.007933314781792407,0.015866629563584814
926082504.4714692,45.19698676045074,0.945785275600687,31,scaled-mmin=1-mmax=4,0,2.573293685913086,route2_199,198,0.007933314781792407,0.03173325912716963
1644816979.6962276,33.42055423901334,0.9319594156808678,18,scaled-mmin=1-mmax=4,1,2.5796291828155518,route2_199,198,0.007933314781792407,0.03173325912716963
1445921642.7883177,40.400110739614775,0.9267189310212799,25,scaled-mmin=1-mmax=4,2,2.5757033824920654,route2_199,198,0.007933314781792407,0.03173325912716963
1582319375.0822108,51.07221048111742,0.907335915237176,21,scaled-mmin=1-mmax=7,0,2.573789119720459,route2_199,198,0.007933314781792407,0.05553320347254685
1514141928.9532514,237.56809110852956,1.04989105599743,17,scaled-mmin=1-mmax=7,1,2.5714640617370605,route2_199,198,0.007933314781792407,0.05553320347254685
1099517568.6404374,74.03634090753127,0.915306240610351,25,scaled-mmin=1-mmax=7,2,2.5753514766693115,route2_199,198,0.007933314781792407,0.05553320347254685
1211639800.9683254,70.75040170593019,0.952011386541658,23,scaled-mmin=1-mmax=14,0,2.569737672805786,route2_199,198,0.007933314781792407,0.1110664069450937
1261394090.2304692,77.4208278360612,0.9947181056385579,18,scaled-mmin=1-mmax=14,1,2.568793773651123,route2_199,198,0.007933314781792407,0.1110664069450937
1527730729.743517,226.22725994536194,1.0277678706639628,21,scaled-mmin=1-mmax=14,2,2.5728983879089355,route2_199,198,0.007933314781792407,0.1110664069450937
1395830826.242444,363.60051195972596,1.0877427493281981,17,scaled-mmin=1-mmax=28,0,2.5725085735321045,route2_199,198,0.007933314781792407,0.2221328138901874
1209433787.1899285,33.63019265122585,0.9193132587177767,14,scaled-mmin=1-mmax=28,1,2.5694973468780518,route2_199,198,0.007933314781792407,0.2221328138901874
981375230.3533312,66.7961919875225,0.9260391706108484,25,scaled-mmin=1-mmax=28,2,2.5787179470062256,route2_199,198,0.007933314781792407,0.2221328138901874
1322268238.243767,133.11478015307873,0.9929241509847005,18,scaled-mmin=2-mmax=4,0,2.5835084915161133,route2_199,198,0.015866629563584814,0.03173325912716963
1777303378.347108,308.2274005279208,1.022728980073473,18,scaled-mmin=2-mmax=4,1,2.5765533447265625,route2_199,198,0.015866629563584814,0.03173325912716963
1693560458.9260702,404.40752155051143,1.0669876961826137,16,scaled-mmin=2-mmax=4,2,2.5718891620635986,route2_199,198,0.015866629563584814,0.03173325912716963
1682427442.807251,148.40654795077842,0.9857456735911164,12,scaled-mmin=2-mmax=7,0,2.5723001956939697,route2_199,198,0.015866629563584814,0.05553320347254685
971743090.2342949,62.455419227869676,0.9666055531983585,26,scaled-mmin=2-mmax=7,1,2.5717010498046875,route2_199,198,0.015866629563584814,0.05553320347254685
1222050289.13057,242.9171876542146,1.028955664887264,27,scaled-mmin=2-mmax=7,2,2.561610221862793,route2_199,198,0.015866629563584814,0.05553320347254685
1258601582.746388,181.79859388244782,1.0087832050330798,25,scaled-mmin=2-mmax=14,0,2.5750114917755127,route2_199,198,0.015866629563584814,0.1110664069450937
1657359815.8666418,97.9077310214687,0.9773447258001331,29,scaled-mmin=2-mmax=14,1,2.569782257080078,route2_199,198,0.015866629563584814,0.1110664069450937
1223926571.4179735,56.44383508019692,0.9411800643052629,30,scaled-mmin=2-mmax=14,2,2.5700557231903076,route2_199,198,0.015866629563584814,0.1110664069450937
