hypervolume,spacing,spread,n_solutions,config_label,run,time_s,neighborhood_size,theta_max,theta_min,mutation_prob,n_partitions
958790400593.1406,71.12714020757222,0.9117160729088744,8,neighborhood_size=50,3,4.18847918510437,50,0.35,0.02,0.05,default
924714966029.3418,279.85079851781865,0.9953524858928517,5,neighborhood_size=50,4,4.1993420124053955,50,0.35,0.02,0.05,default
1012499553777.1816,213.44787760439007,1.0048031037403806,5,mutation_prob=0.01,0,1.2702851295471191,10,0.35,0.02,0.01,default
996024739816.0234,161.7948658725522,0.9656804933146413,8,mutation_prob=0.01,1,1.27199125289917,10,0.35,0.02,0.01,default
611974412730.2893,54.99493163468857,0.9703902097901307,13,mutation_prob=0.01,2,1.2688047885894775,10,0.35,0.02,0.01,default
1176935456234.335,45.669638877643976,0.9882445392959172,3,mutation_prob=0.01,3,1.272325038909912,10,0.35,0.02,0.01,default
1302857584728.3906,270.00305084260106,1.01454951059381,6,mutation_prob=0.01,4,1.271629810333252,10,0.35,0.02,0.01,default
1144429689251.625,219.97406557395163,0.9934647616375946,5,mutation_prob=0.02,0,1.2661821842193604,10,0.35,0.02,0.02,default
687930161645.5293,111.1701741610154,0.9803912573043737,5,mutation_prob=0.02,1,1.2608380317687988,10,0.35,0.02,0.02,default
780782798249.6875,308.496688625835,1.0375903063919276,9,mutation_prob=0.02,2,1.2729113101959229,10,0.35,0.02,0.02,default
691353203914.5508,407.03642559739,1.0663801951707355,9,mutation_prob=0.02,3,1.2762198448181152,10,0.35,0.02,0.02,default
1004304658384.1694,1206.6371687028172,1.0647749610429795,4,mutation_prob=0.02,4,1.2676119804382324,10,0.35,0.02,0.02,default
1260939187550.746,1107.7667058874517,1.0932159430675674,7,mutation_prob=0.1,0,1.2613542079925537,10,0.35,0.02,0.1,default
1083584446593.2344,134.18201625669,0.9450066531174548,8,mutation_prob=0.1,1,1.2663791179656982,10,0.35,0.02,0.1,default
1421179690142.753,92.90390573798675,1.0129445438574871,23,mutation_prob=0.1,2,1.270162582397461,10,0.35,0.02,0.1,default
1106622909716.5305,527.5050657234018,1.0888569809006063,14,mutation_prob=0.1,3,1.2659730911254883,10,0.35,0.02,0.1,default
734034622238.6094,438.47168329953394,1.053597011366359,9,mutation_prob=0.1,4,1.262810468673706,10,0.35,0.02,0.1,default
784496269290.9551,553.0632092929599,1.057086111752135,7,mutation_prob=0.2,0,1.2665565013885498,10,0.35,0.02,0.2,default
