hypervolume,spacing,spread,n_solutions,config_label,run,time_s,instance,n_var
408490349786.50977,697.8554329694624,1.0280425642743605,6,"noop(1.0,1.0)",0,1.2846391201019287,A-n32-k5,31
359967270494.8125,53.69622759979007,0.9401195511864201,11,"noop(1.0,1.0)",1,1.2752196788787842,A-n32-k5,31
458863497255.0044,321.7215764213446,1.0588010875180334,4,"noop(1.0,1.0)",2,1.2730638980865479,A-n32-k5,31
390905432306.10254,350.49307494149116,1.0068538965394283,8,"noop(1.0,1.0)",3,1.275320291519165,A-n32-k5,31
490804393476.1387,584.555020945369,1.0569053766272658,5,"noop(1.0,1.0)",4,1.2796080112457275,A-n32-k5,31
419264321164.39844,729.4079883391539,1.0808644928253655,10,"mild(1.1,1.2)",0,1.2732267379760742,A-n32-k5,31
359967270494.8125,53.69622759979007,0.9401195511864201,11,"mild(1.1,1.2)",1,1.276547908782959,A-n32-k5,31
463932833417.71094,128.71086724745842,0.9783035552768129,9,"mild(1.1,1.2)",2,1.2760446071624756,A-n32-k5,31
390905432306.10254,350.49307494149116,1.0068538965394283,8,"mild(1.1,1.2)",3,1.278932809829712,A-n32-k5,31
415834206226.20135,785.7684500635245,1.0392976909475495,3,"mild(1.1,1.2)",4,1.2736570835113525,A-n32-k5,31
480449825486.3906,30.86074067399977,0.8548030189370139,7,"moderate(1.3,1.5)",0,1.2751870155334473,A-n32-k5,31
359967270494.8125,53.69622759979007,0.9401195511864201,11,"moderate(1.3,1.5)",1,1.2743721008300781,A-n32-k5,31
443296919584.875,125.62010779880565,0.9955914382098697,11,"moderate(1.3,1.5)",2,1.275721788406372,A-n32-k5,31
390905432306.10254,350.49307494149116,1.0068538965394283,8,"moderate(1.3,1.5)",3,1.2808821201324463,A-n32-k5,31
562773236501.5415,0.0,0.7142857142857143,2,"moderate(1.3,1.5)",4,1.2791433334350586,A-n32-k5,31
411552949536.73145,893.9911461684471,1.0611930503597944,6,"strong(1.5,2.0)",0,1.2862040996551514,A-n32-k5,31
359967270494.8125,53.69622759979007,0.9401195511864201,11,"strong(1.5,2.0)",1,1.2848947048187256,A-n32-k5,31
442324808602.0625,115.81687191710434,1.0066922330122319,12,"strong(1.5,2.0)",2,1.2821156978607178,A-n32-k5,31
390905432306.10254,350.49307494149116,1.0068538965394283,8,"strong(1.5,2.0)",3,1.274735450744629,A-n32-k5,31
401879152349.6277,0.0,0.7142857142857143,2,"strong(1.5,2.0)",4,1.265876293182373,A-n32-k5,31
398456875286.53906,733.1262131470386,1.0966899816190683,10,"stronger(2.0,3.0)",0,1.2665143013000488,A-n32-k5,31
359967270494.8125,53.69622759979007,0.9401195511864201,11,"stronger(2.0,3.0)",1,1.2671194076538086,A-n32-k5,31
440568423607.2344,126.59440934324337,0.9967215005751295,9,"stronger(2.0,3.0)",2,1.263584852218628,A-n32-k5,31
390905432306.10254,350.49307494149116,1.0068538965394283,8,"stronger(2.0,3.0)",3,1.2664847373962402,A-n32-k5,31
378624391148.8773,464.970316242312,1.0292100844316912,3,"stronger(2.0,3.0)",4,1.2663648128509521,A-n32-k5,31
403158035078.3125,706.6455353303662,1.075361830213769,8,"default(3.0,5.0)",0,1.2674734592437744,A-n32-k5,31
359967270494.8125,53.69622759979007,0.9401195511864201,11,"default(3.0,5.0)",1,1.2671432495117188,A-n32-k5,31
440568423607.2344,126.59440934324337,0.9967215005751295,9,"default(3.0,5.0)",2,1.2653563022613525,A-n32-k5,31
390905432306.10254,350.49307494149116,1.0068538965394283,8,"default(3.0,5.0)",3,1.2674498558044434,A-n32-k5,31
329002368783.1688,1045.3158195002186,1.0133004198431321,4,"default(3.0,5.0)",4,1.2659168243408203,A-n32-k5,31
