hypervolume,spacing,spread,n_solutions,config_label,run,time_s,instance,n_var,theta_min,theta_max
1065873188406.625,540.3154842569738,1.0533972612401015,12,scaled-mmin=2-mmax=14,2,1.811286211013794,E-n101-k8,100,0.031415926535897934,0.21991148575128555
1579019756613.5718,205.75161100548468,0.8998251481987103,14,scaled-mmin=2-mmax=28,0,1.8255105018615723,E-n101-k8,100,0.031415926535897934,0.4398229715025711
1792665745029.4375,899.5966289542496,1.0325076211059188,10,scaled-mmin=2-mmax=28,1,1.8485267162322998,E-n101-k8,100,0.031415926535897934,0.4398229715025711
1287908890749.8105,367.43001002856215,1.0355621430637925,18,scaled-mmin=2-mmax=28,2,1.840386152267456,E-n101-k8,100,0.031415926535897934,0.4398229715025711
1394894752883.25,782.534359788238,1.0658608678796861,12,scaled-mmin=4-mmax=7,0,1.8459737300872803,E-n101-k8,100,0.06283185307179587,0.10995574287564278
1539427789052.2832,22.21706923601352,0.8860399428297403,15,scaled-mmin=4-mmax=7,1,1.862708330154419,E-n101-k8,100,0.06283185307179587,0.10995574287564278
1245894394991.48,681.2636955691588,0.9536309371739312,3,scaled-mmin=4-mmax=7,2,1.8582227230072021,E-n101-k8,100,0.06283185307179587,0.10995574287564278
1600951644220.6465,1148.0550667017626,1.0099692900579,4,scaled-mmin=4-mmax=14,0,1.8553428649902344,E-n101-k8,100,0.06283185307179587,0.21991148575128555
1551067433720.961,49.51046623817388,0.9042318047707754,5,scaled-mmin=4-mmax=14,1,1.8546900749206543,E-n101-k8,100,0.06283185307179587,0.21991148575128555
1255475403327.2026,199.9282349662088,0.9448645283752579,16,scaled-mmin=4-mmax=14,2,1.8509621620178223,E-n101-k8,100,0.06283185307179587,0.21991148575128555
1230896373833.6055,162.98748562575278,0.8990548890021598,16,scaled-mmin=4-mmax=28,0,1.8478405475616455,E-n101-k8,100,0.06283185307179587,0.4398229715025711
1794946510477.75,666.7177372633302,1.0488983654487276,11,scaled-mmin=4-mmax=28,1,1.8342115879058838,E-n101-k8,100,0.06283185307179587,0.4398229715025711
1760343743765.25,26.531146017346757,0.7743871966007838,12,scaled-mmin=4-mmax=28,2,1.8296983242034912,E-n101-k8,100,0.06283185307179587,0.4398229715025711
1459169323938.683,169.90889071952992,0.953095490733102,16,scaled-mmin=8-mmax=14,0,1.8281059265136719,E-n101-k8,100,0.12566370614359174,0.21991148575128555
933276977043.3743,268.0812824712675,0.9749560909170466,21,scaled-mmin=8-mmax=14,1,1.8231983184814453,E-n101-k8,100,0.12566370614359174,0.21991148575128555
1616507112107.7969,75.12446900271317,0.8331467871045576,8,scaled-mmin=8-mmax=14,2,1.8779196739196777,E-n101-k8,100,0.12566370614359174,0.21991148575128555
1430487107520.6838,114.70496450105533,0.9164428100586787,19,scaled-mmin=8-mmax=28,0,1.8812487125396729,E-n101-k8,100,0.12566370614359174,0.4398229715025711
1561704500705.9392,490.7831922508312,1.0185804104387681,16,scaled-mmin=8-mmax=28,1,1.8780980110168457,E-n101-k8,100,0.12566370614359174,0.4398229715025711
1038855980158.2632,605.7477097563961,1.068555311078797,13,scaled-mmin=8-mmax=28,2,1.8711442947387695,E-n101-k8,100,0.12566370614359174,0.4398229715025711
