hypervolume,spacing,spread,n_solutions,algorithm,run,instance,time_s
803993346.6916504,148.40654795077842,0.9857456735911164,12,QIEA,0,route2_199,2.708632469177246
414031907.90158546,62.455419227869676,0.9666055531983585,26,QIEA,1,route2_199,2.5843517780303955
553264556.3836768,242.9171876542146,1.028955664887264,27,QIEA,2,route2_199,2.576784133911133
1280486886.1967118,40.99309766878513,0.9592425454101768,52,NSGA-II,0,route2_199,1.5308561325073242
1104692292.5807934,68.07698098777169,0.9255939193647693,34,NSGA-II,1,route2_199,1.4544761180877686
1469503317.07885,25.276196618355794,0.8452406609406943,76,NSGA-II,2,route2_199,1.4030344486236572
1325045841.9951472,40.579137861461184,0.8987946651014331,39,SPEA2,0,route2_199,1.5866973400115967
1617651284.9500859,18.049474542950865,0.796765774291172,41,SPEA2,1,route2_199,1.6050300598144531
1764621936.212358,20.799243181896287,0.8185802505844993,65,SPEA2,2,route2_199,1.5459685325622559
1378544163.3195057,2.4116504445160483,1.0514465541485198,61,MOEA/D,0,route2_199,4.5731635093688965
1127995887.102336,6.248884192212108,1.0737212888497416,43,MOEA/D,1,route2_199,4.553361654281616
1427971345.0871663,2.0292656165423058,1.0430418104002646,75,MOEA/D,2,route2_199,4.5587053298950195
1828833670.360423,40.19915826129653,0.8963057226737365,24,RVEA,0,route2_199,2.1388332843780518
2616133680.2625685,73.21164657511636,0.9519042653397196,23,RVEA,1,route2_199,2.1309900283813477
2001019336.565899,38.32859719158071,0.8766102642767859,19,RVEA,2,route2_199,2.120821952819824
