hypervolume,spacing,spread,n_solutions,algorithm,run,instance,time_s
556554295770.4727,555.2235899239643,1.0388870989169008,6,QIEA,0,A-n32-k5,9.407840728759766
643695157055.042,301.6251692511139,0.9290222026753429,4,QIEA,1,A-n32-k5,23.15354633331299
798157646684.2578,273.4162441573426,0.9754750161015789,9,QIEA,2,A-n32-k5,11.776167154312134
734485973002.75,344.74872408034184,1.0317953876247743,12,QIEA,3,A-n32-k5,11.59071946144104
863677439016.7148,1113.9212419793112,1.076041106345582,5,QIEA,4,A-n32-k5,11.530204057693481
732431839922.8906,451.96647945140404,1.033810416232585,9,QIEA,5,A-n32-k5,11.453312873840332
1081706810361.3887,1125.55750745043,1.0792543350023918,6,QIEA,6,A-n32-k5,11.58613133430481
889974323691.5273,20.827688361591722,0.8234484741072868,6,QIEA,7,A-n32-k5,11.076492071151733
1195895876351.796,342.35019664595876,1.0069972660879607,5,QIEA,8,A-n32-k5,11.625875234603882
565164083802.9436,458.4752690633284,1.0724590670583203,13,QIEA,9,A-n32-k5,11.45657467842102
863386988524.7188,233.71868054091854,1.0401896954083403,14,QIEA,10,A-n32-k5,11.403228044509888
1047771197539.5547,579.8320253577706,1.0525731960762579,6,QIEA,11,A-n32-k5,11.569587707519531
883424580066.4805,125.05419000225486,1.0223776076969817,5,QIEA,12,A-n32-k5,11.297789573669434
684464951971.209,287.24003816895026,0.9936025298998037,7,QIEA,13,A-n32-k5,11.063679456710815
615358462879.375,361.16130558914585,1.061858723806904,10,QIEA,14,A-n32-k5,11.316466808319092
927459695456.0156,513.40230914885,1.089517646716986,8,QIEA,15,A-n32-k5,11.132457256317139
897964376620.6387,55.543601993186215,0.9247702193432003,6,QIEA,16,A-n32-k5,11.18051815032959
997936067857.2793,33.47327248288588,0.8771908319132558,5,QIEA,17,A-n32-k5,11.080040693283081
508484921507.8926,624.6337259501909,1.047714739296202,8,QIEA,18,A-n32-k5,11.233628511428833
782479162688.4219,728.4766890959993,1.0794710515223653,10,QIEA,19,A-n32-k5,11.08871603012085
482648967762.53577,517.7754143574015,1.0770618851519334,14,QIEA,20,A-n32-k5,11.200195550918579
642283542651.4365,507.1210355146878,1.0430251389249237,5,QIEA,21,A-n32-k5,11.113245010375977
638116943596.4844,643.9219932010238,1.060759659642284,8,QIEA,22,A-n32-k5,11.206529378890991
651345780539.2607,492.3466803297665,0.9890928576275413,6,QIEA,23,A-n32-k5,11.122799634933472
978499474422.5991,1171.426830532725,1.064315270830364,5,QIEA,24,A-n32-k5,11.19992971420288
523526314287.8594,350.4913717547612,1.0287727074860393,12,QIEA,25,A-n32-k5,11.124004125595093
939177890198.6641,312.0079551865323,1.0190666019802426,6,QIEA,26,A-n32-k5,11.201104879379272
869728263283.0312,409.05007605714826,1.0537537151303888,9,QIEA,27,A-n32-k5,11.09553074836731
608767165840.9688,19.859831118045506,0.8866857352217358,10,QIEA,28,A-n32-k5,11.257219791412354
944036392693.1758,740.361878544756,1.049495898651776,6,QIEA,29,A-n32-k5,11.122586250305176
2216788997142.926,14.880554352373013,0.7908342906580738,80,NSGA-II,0,A-n32-k5,3.7935681343078613
2133445120765.763,199.52342768069008,1.0162080977666412,59,NSGA-II,1,A-n32-k5,8.628949880599976
2273354616951.9834,20.153720725165353,0.8663343910389091,57,NSGA-II,2,A-n32-k5,4.416916370391846
1998995153623.6646,15.36557258952335,0.7935129065322274,80,NSGA-II,3,A-n32-k5,4.418694972991943
1893072489486.6047,18.249844227587726,0.8327267519180572,31,NSGA-II,4,A-n32-k5,4.403339624404907
2107426917687.21,37.48295794889783,0.9258933593494135,43,NSGA-II,5,A-n32-k5,4.451258659362793
2323440218158.6943,31.27497258334126,0.8234191030522843,79,NSGA-II,6,A-n32-k5,4.481004953384399
2476475917028.4766,11.86476942581145,0.907521803174078,80,NSGA-II,7,A-n32-k5,4.276829719543457
1780829875902.0913,41.7687980293658,0.9607246828661447,47,NSGA-II,8,A-n32-k5,4.422708034515381
2355850443507.5146,13.022161485374228,0.765518575913082,72,NSGA-II,9,A-n32-k5,4.3767499923706055
1896289538048.5464,27.93694148357768,0.8752389547185582,79,NSGA-II,10,A-n32-k5,4.392132759094238
1959212230879.4272,15.415724039219846,0.8017886602363176,80,NSGA-II,11,A-n32-k5,4.45383095741272
2163753107586.0754,26.517054659988478,0.8501664481318899,69,NSGA-II,12,A-n32-k5,4.322168827056885
1886264464651.138,28.627589215400775,0.8694819076362945,67,NSGA-II,13,A-n32-k5,4.269468069076538
1962989560086.1711,39.62331014060078,0.9206384923891394,68,NSGA-II,14,A-n32-k5,4.293030023574829
1817573836323.197,60.05421302728082,0.9441942631386041,41,NSGA-II,15,A-n32-k5,4.2712225914001465
2161910706496.0745,375.2522217278801,1.0038438987006082,33,NSGA-II,16,A-n32-k5,4.289116859436035
1796431812335.1104,19.366272263526753,0.8937578876953512,76,NSGA-II,17,A-n32-k5,4.235610008239746
1710810755688.2908,38.68598038827013,0.9576845552632912,80,NSGA-II,18,A-n32-k5,4.268560886383057
2237893455446.0234,18.084591183969977,0.8165468813624709,80,NSGA-II,19,A-n32-k5,4.311036825180054
1903971926190.023,46.281535148033896,0.9532048050662069,66,NSGA-II,20,A-n32-k5,4.283377170562744
1940095686577.9998,34.712853422917505,0.9087428905617253,49,NSGA-II,21,A-n32-k5,4.2889556884765625
1939713277561.683,26.404010350620467,0.8055715646623895,73,NSGA-II,22,A-n32-k5,4.322645425796509
1899311406505.9092,39.907099155141346,0.903216421920185,63,NSGA-II,23,A-n32-k5,4.2192137241363525
1664480469364.8757,24.420964323506755,0.8021130818034424,74,NSGA-II,24,A-n32-k5,4.274951457977295
1942457341479.375,63.1545438079816,0.8853997665916596,71,NSGA-II,25,A-n32-k5,4.221574783325195
2125947536449.7407,30.505877539448367,0.9167730120491305,59,NSGA-II,26,A-n32-k5,4.283793687820435
2556112062811.901,35.2401358023213,0.91830554684282,39,NSGA-II,27,A-n32-k5,4.2409827709198
1808090774606.329,17.40597554288454,0.7885870921592522,80,NSGA-II,28,A-n32-k5,4.283012866973877
2095781954865.4084,20.04234915667865,0.862404581664016,80,NSGA-II,29,A-n32-k5,4.233211517333984
1853209560515.6846,17.58891414709947,0.8510495243967631,68,SPEA2,0,A-n32-k5,5.468436241149902
2270660736509.6265,28.247379487190805,0.8199476292393697,72,SPEA2,1,A-n32-k5,10.962099552154541
2191219456510.3765,14.579385194991307,0.8875899325377556,64,SPEA2,2,A-n32-k5,6.2312610149383545
2001473075942.1477,20.73214862488668,0.8610331176258815,76,SPEA2,3,A-n32-k5,6.337081432342529
2139483135797.2017,14.563234952749756,0.6850321235386593,80,SPEA2,4,A-n32-k5,6.318060636520386
2292126081103.1904,21.78360944866602,0.754176550067294,80,SPEA2,5,A-n32-k5,6.277860164642334
1877198303657.9424,18.609239597915757,0.8340045207676782,56,SPEA2,6,A-n32-k5,6.4154372215271
2100901581393.04,21.232839145631623,0.9270578164222285,46,SPEA2,7,A-n32-k5,6.042268991470337
2335368375167.704,180.33351458446148,0.9378890111179106,80,SPEA2,8,A-n32-k5,6.290232181549072
2422875871176.3145,102.39397571526327,0.9143656627551245,69,SPEA2,9,A-n32-k5,6.106055021286011
2404289839197.9297,217.59046518383738,1.0177154917484004,68,SPEA2,10,A-n32-k5,6.266430139541626
2327551064634.4546,15.177554483539724,0.7455636599826745,80,SPEA2,11,A-n32-k5,6.065129995346069
1946848407659.121,18.733572466109145,0.7486323976565864,79,SPEA2,12,A-n32-k5,5.928803205490112
2293721798372.8096,13.737830656013012,0.7444306377857193,80,SPEA2,13,A-n32-k5,5.875995635986328
2279952481675.4004,59.20247982067344,0.8997753125447728,60,SPEA2,14,A-n32-k5,5.9378252029418945
1803863627813.307,22.966449928533947,0.8217309995515525,70,SPEA2,15,A-n32-k5,5.8626415729522705
2117900966988.4175,19.68913919398491,0.7746408432572218,78,SPEA2,16,A-n32-k5,6.074345111846924
1907721718289.1797,121.44776231774152,0.991819126783963,66,SPEA2,17,A-n32-k5,5.791970729827881
2041934727539.8906,35.38214084477237,0.8944807875907774,80,SPEA2,18,A-n32-k5,5.909315586090088
2038395031611.6,18.694711550221648,0.7766944334704489,74,SPEA2,19,A-n32-k5,5.961057186126709
2005240266795.5664,15.202985688160734,0.6451662340082224,80,SPEA2,20,A-n32-k5,5.92763614654541
